# x y z u v w
0.897598 6.28319 5.68479 0 0 0
0.897598 6.28319 6.28319 0 0 0
1.496 0.299199 0.299199 0 0 0
1.496 0.299199 0.897598 0 0 0
1.496 0.299199 1.496 0 0 0
1.496 0.299199 2.0944 0 0 0
1.496 0.299199 2.69279 0 0 0
1.496 0.299199 3.29119 0 0 0
1.496 0.299199 3.88959 0 0 0
1.496 0.299199 4.48799 0 0 0
1.496 0.299199 5.08639 0 0 0
1.496 0.299199 5.68479 0 0 0
1.496 0.299199 6.28319 0 0 0
1.496 0.897598 0.299199 0 0 0
1.496 0.897598 0.897598 0 0.00197383 0
1.496 0.897598 1.496 0 0.00163085 0
1.496 0.897598 2.0944 0 0.00072112 0
1.496 0.897598 2.69279 0 -0.000439218 0
1.496 0.897598 3.29119 0 0 0
1.496 0.897598 3.88959 0 0 0
1.496 0.897598 4.48799 0 0 0
1.496 0.897598 5.08639 0 0 0
1.496 0.897598 5.68479 0 0 0
1.496 0.897598 6.28319 0 0 0
1.496 1.496 0.299199 0 0 0
1.496 1.496 0.897598 0 0.00128788 0.00145487
1.496 1.496 1.496 0.000620245 0.00106409 0.00163522
1.496 1.496 2.0944 0.00102494 0.000470514 0.00124729
1.496 1.496 2.69279 0.00107345 -0.00028658 0.000425904
1.496 1.496 3.29119 0 0 0
1.496 1.496 3.88959 0 0 0
1.496 1.496 4.48799 0 0 0
1.496 1.496 5.08639 0 0 0
1.496 1.496 5.68479 0 0 0
1.496 1.496 6.28319 0 0 0
1.496 2.0944 0.299199 0 0 0
1.496 2.0944 0.897598 0 0.000154362 0.00240414
1.496 2.0944 1.496 0.00102494 0.00012754 0.00270216
1.496 2.0944 2.0944 0.00169369 5.63947e-05 0.00206112
1.496 2.0944 2.69279 0.00177385 -3.43488e-05 0.000703796
1.496 2.0944 3.29119 0 0 0
1.496 2.0944 3.88959 0 0 0
1.496 2.0944 4.48799 0 0 0
1.496 2.0944 5.08639 0 0 0
1.496 2.0944 5.68479 0 0 0
1.496 2.0944 6.28319 0 0 0
1.496 2.69279 0.299199 0 0 0
1.496 2.69279 0.897598 0 -0.0010328 0.00251792
1.496 2.69279 1.496 0.00107345 -0.000853337 0.00283004
1.496 2.69279 2.0944 0.00177385 -0.000377323 0.00215867
1.496 2.69279 2.69279 0.00185779 0.000229819 0.000737104
1.496 2.69279 3.29119 0 0 0
1.496 2.69279 3.88959 0 0 0
1.496 2.69279 4.48799 0 0 0
1.496 2.69279 5.08639 0 0 0
1.496 2.69279 5.68479 0 0 0
1.496 2.69279 6.28319 0 0 0
1.496 3.29119 0.299199 0 0 0
1.496 3.29119 0.897598 0 0 0
1.496 3.29119 1.496 0 0 0
1.496 3.29119 2.0944 0 0 0
1.496 3.29119 2.69279 0 0 0
1.496 3.29119 3.29119 0 0 0
1.496 3.29119 3.88959 0 0 0
1.496 3.29119 4.48799 0 0 0
1.496 3.29119 5.08639 0 0 0
1.496 3.29119 5.68479 0 0 0
1.496 3.29119 6.28319 0 0 0
1.496 3.88959 0.299199 0 0 0
1.496 3.88959 0.897598 0 0 0
1.496 3.88959 1.496 0 0 0
1.496 3.88959 2.0944 0 0 0
1.496 3.88959 2.69279 0 0 0
1.496 3.88959 3.29119 0 0 0
1.496 3.88959 3.88959 0 0 0
1.496 3.88959 4.48799 0 0 0
1.496 3.88959 5.08639 0 0 0
1.496 3.88959 5.68479 0 0 0
1.496 3.88959 6.28319 0 0 0
1.496 4.48799 0.299199 0 0 0
1.496 4.48799 0.897598 0 0 0
1.496 4.48799 1.496 0 0 0
1.496 4.48799 2.0944 0 0 0
1.496 4.48799 2.69279 0 0 0
1.496 4.48799 3.29119 0 0 0
1.496 4.48799 3.88959 0 0 0
1.496 4.48799 4.48799 0 0 0
1.496 4.48799 5.08639 0 0 0
1.496 4.48799 5.68479 0 0 0
1.496 4.48799 6.28319 0 0 0
1.496 5.08639 0.299199 0 0 0
1.496 5.08639 0.897598 0 0 0
1.496 5.08639 1.496 0 0 0
1.496 5.08639 2.0944 0 0 0
1.496 5.08639 2.69279 0 0 0
1.496 5.08639 3.29119 0 0 0
1.496 5.08639 3.88959 0 0 0
1.496 5.08639 4.48799 0 0 0
1.496 5.08639 5.08639 0 0 0
1.496 5.08639 5.68479 0 0 0
1.496 5.08639 6.28319 0 0 0
1.496 5.68479 0.299199 0 0 0
1.496 5.68479 0.897598 0 0 0
1.496 5.68479 1.496 0 0 0
1.496 5.68479 2.0944 0 0 0
1.496 5.68479 2.69279 0 0 0
1.496 5.68479 3.29119 0 0 0
1.496 5.68479 3.88959 0 0 0
1.496 5.68479 4.48799 0 0 0
1.496 5.68479 5.08639 0 0 0
1.496 5.68479 5.68479 0 0 0
1.496 5.68479 6.28319 0 0 0
1.496 6.28319 0.299199 0 0 0
1.496 6.28319 0.897598 0 0 0
